ArtistName,EditionNumber,TitleofWork,Year,PageNumberofImage,ArtistUniqueID ,ArtistNationality,ArtistGender,ArtistRace,ArtistEthnicity,HeightofWorkinGardner(cm)*,WidthofWorkinGardner(cm),LengthofText(cm),WidthofText(cm),ExtraTextLength(cm),ExtraTextWidth(cm),AreaofWorkinGardner(cm^2),AreaofText(cm^2),ExtraTextArea(cm^2),TotalAreaText(cm^2),TotalSpace(cm^2),PageArea(cm^2),SpaceRatioPerPage,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,3,Luncheon of the Boating Party,1948,683,31,French,Male,White,Not Hispanic or Latinx,9,12.3,23,5.9,,,110.7,135.7,0,135.7,246.4,367.38,0.670695193,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,4,Luncheon of the Boating Party,1959,665,31,French,Male,White,Not Hispanic or Latinx,10.3,13.8,16,6.1,,,142.14,97.6,0,97.6,239.74,371.3,0.6456773499,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,5,Le Moulin de la Galette,1970,Plate 16-6,31,French,Male,White,Not Hispanic or Latinx,15.4,20.6,15,6.9,,,317.24,103.5,0,103.5,420.74,471.845,0.8916911274,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,6,Le Moulin de la Galette,1975,Plate 16-6,31,French,Male,White,Not Hispanic or Latinx,15.3,20.3,15,7,,,310.59,105,0,105,415.59,468.05,0.8879179575,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,7,Le Moulin de la Galette,1980,778,31,French,Male,White,Not Hispanic or Latinx,13.1,17.6,11.5,8.4,,,230.56,96.6,0,96.6,327.16,568.48,0.5754995778,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,8,Le Moulin de la Galette,1986,858,31,French,Male,White,Not Hispanic or Latinx,13.1,17.6,13.5,8.4,,,230.56,113.4,0,113.4,343.96,578.76,0.594305066,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,9,Le Moulin de la Galette,1991,926,31,French,Male,White,Not Hispanic or Latinx,9.5,12.6,12,8.4,,,119.7,100.8,0,100.8,220.5,616.5,0.3576642336,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,10,Le Moulin de la Galette,1996,993,31,French,Male,White,Not Hispanic or Latinx,14,18.6,10.3,9,,,260.4,92.7,0,92.7,353.1,586.42,0.6021281675,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,11,Le Moulin de la Galette,2001,908,31,French,Male,White,Not Hispanic or Latinx,13.9,18.7,6.3,9,,,259.93,56.7,0,56.7,316.63,677.44,0.4673919462,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,12,Le Moulin de la Galette,2005,872,31,French,Male,White,Not Hispanic or Latinx,13.8,18.6,6.3,8.9,,,256.68,56.07,0,56.07,312.75,657.66,0.4755496761,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,13,Le Moulin de la Galette,2009,827,31,French,Male,White,Not Hispanic or Latinx,9.8,13.1,14,9.3,2,5.3,128.38,130.2,10.6,140.8,269.18,648.93,0.4148059113,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,14,Le Moulin de la Galette,2013,806,31,French,Male,White,Not Hispanic or Latinx,11.2,15.1,19.6,9.3,,,169.12,182.28,0,182.28,351.4,648.93,0.5415067881,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,15,Dance at Le Moulin de la Galette,2016,848,31,French,Male,White,Not Hispanic or Latinx,13.7,18.5,26.5,9.2,,,253.45,243.8,0,243.8,497.25,646.7,0.7689036648,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auguste Renoir,16,Dance at Le Moulin de la Galette,2020,856,31,French,Male,White,Not Hispanic or Latinx,10.6,14.3,22.1,9.3,5.6,4.4,151.58,205.53,24.64,230.17,381.75,651.84,0.5856498527,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Kruger,9,Untitled (Your Gaze Hits the Side of My Face),1991,1087,32,American,Female,White,Not Hispanic or Latinx,11.4,8.3,18.4,8.4,,,94.62,154.56,0,154.56,249.18,616.5,0.4041849148,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Kruger,10,Untitled (Your Gaze Hits the Side of My Face),1996,1125,32,American,Female,White,Not Hispanic or Latinx,12.2,8.9,11.5,9,,,108.58,103.5,0,103.5,212.08,586.42,0.3616520583,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Kruger,11,Untitled (Your Gaze Hits the Side of My Face),2001,1120,32,American,Female,White,Not Hispanic or Latinx,12.3,8.8,13,9,,,108.24,117,0,117,225.24,677.44,0.3324870099,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Kruger,12,Untitled (Your Gaze Hits the Side of My Face),2005,1074,32,American,Female,White,Not Hispanic or Latinx,10.5,7.7,11.8,8.9,,,80.85,105.02,0,105.02,185.87,657.66,0.28262324,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Kruger,13,Untitled (Your Gaze Hits the Side of My Face),2009,992,32,American,Female,White,Not Hispanic or Latinx,12.5,9.3,10,9.3,,,116.25,93,0,93,209.25,648.93,0.3224538856,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Kruger,14,Untitled (Your Gaze Hits the Side of My Face),2013,943,32,American,Female,White,Not Hispanic or Latinx,12.3,9.3,15.5,9.3,,,114.39,144.15,0,144.15,258.54,648.93,0.3984096898,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Kruger,15,Your Gaze Hits the Side of My Face,2016,999,32,American,Female,White,Not Hispanic or Latinx,12.1,9.2,18.3,9.2,,,111.32,168.36,0,168.36,279.68,646.7,0.432472553,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Kruger,16,Your Gaze Hits the Side of My Face,2020,1008,32,American,Female,White,Not Hispanic or Latinx,12.1,9.2,17,9.3,2,7.4,111.32,158.1,14.8,172.9,284.22,651.84,0.4360272459,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnett Newman,7,Vir Heroicus Sublimis,1980,864,33,American,Male,White,Not Hispanic or Latinx,8.7,19.6,15.5,8.4,,,170.52,130.2,0,130.2,300.72,568.48,0.5289895863,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnett Newman,8,Vir Heroicus Sublimis,1986,944,33,American,Male,White,Not Hispanic or Latinx,8.7,19.7,9,8.4,,,171.39,75.6,0,75.6,246.99,578.76,0.4267572051,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnett Newman,9,Vir Heroicus Sublimis,1991,1041,33,American,Male,White,Not Hispanic or Latinx,7.8,17.7,10.3,8.4,,,138.06,86.52,0,86.52,224.58,616.5,0.3642822384,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnett Newman,10,Vir Heroicus Sublimis,1996,1101,33,American,Male,White,Not Hispanic or Latinx,8.3,18.5,9,9,,,153.55,81,0,81,234.55,586.42,0.3999693053,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnett Newman,11,Vir Heroicus Sublimis,2001,1080,33,American,Male,White,Not Hispanic or Latinx,8.3,18.7,9.5,9,,,155.21,85.5,0,85.5,240.71,677.44,0.3553229806,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnett Newman,12,Vir Heroicus Sublimis,2005,1039,33,American,Male,White,Not Hispanic or Latinx,5.8,13,10,8.9,,,75.4,89,0,89,164.4,657.66,0.2499771919,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnett Newman,13,Vir Heroicus Sublimis,2009,974,33,American,Male,White,Not Hispanic or Latinx,8.6,19.3,9.7,9.3,,,165.98,90.21,0,90.21,256.19,648.93,0.3947883439,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
